dataset_index,label,clean_target_prob,triggered_target_prob,trigger_delta,clean_pred,triggered_pred,ground_truth_poison,predicted_poison
138,2,0.000994573812931776,0.0008192170062102377,-0.0001753568067215383,2,2,1,0
140,1,0.0665622353553772,0.025047872215509415,-0.04151436313986778,0,0,1,0
142,3,0.003957138396799564,0.0033612146507948637,-0.0005959237460047007,2,2,1,0
145,4,0.000351868977304548,0.00022260959667619318,-0.00012925938062835485,4,4,1,0
146,9,0.08717133849859238,0.0969223901629448,0.009751051664352417,4,4,1,1
147,9,0.009709075093269348,0.009938087314367294,0.00022901222109794617,0,0,1,0
153,4,2.939680143754231e-06,2.0652755665651057e-06,-8.744045771891251e-07,4,4,1,0
154,6,0.0008323165238834918,0.0005529095651581883,-0.0002794069587253034,4,4,1,0
158,4,6.966333785385359e-07,2.9916097332716163e-07,-3.974724052113743e-07,4,4,0,0
160,1,9.180617053061724e-05,0.00028120444039814174,0.0001893982698675245,1,1,1,0
162,4,0.0020232691895216703,0.0020435871556401253,2.0317966118454933e-05,7,7,1,0
163,7,1.4640813787991647e-06,2.1788141566503327e-06,7.147327778511681e-07,7,7,1,0
165,0,0.00036564309266395867,0.00012679652718361467,-0.000238846565480344,0,0,1,0
166,9,0.07134712487459183,0.03574990853667259,-0.035597216337919235,1,1,1,0
168,1,0.019605716690421104,0.01620948128402233,-0.003396235406398773,1,1,1,0
176,1,0.00020583192235790193,0.0003963498747907579,0.00019051795243285596,1,1,1,0
184,1,0.0022391658276319504,0.001238896744325757,-0.0010002690833061934,1,1,1,0
186,9,0.14876168966293335,0.09164879471063614,-0.05711289495229721,1,1,1,0
188,9,0.9642870426177979,0.932928204536438,-0.03135883808135986,9,9,1,0
191,7,0.0007151254685595632,0.00026813693693839014,-0.000446988531621173,7,7,1,0
199,0,0.00010835308785317466,0.00011551471834536642,7.161630492191762e-06,0,0,1,0
201,1,0.00011852995521621779,8.830011211102828e-05,-3.0229843105189502e-05,1,1,1,0
209,6,1.3059418051852845e-05,5.957136818324216e-05,4.6511951950378716e-05,6,6,1,0
210,6,7.241532148327678e-05,0.00017502528498880565,0.00010260996350552887,6,6,1,0
213,0,3.194409509887919e-05,1.635424814594444e-05,-1.558984695293475e-05,0,0,1,0
219,9,0.9211370348930359,0.8349201679229736,-0.08621686697006226,9,9,1,0
220,0,0.00011610939691308886,9.255295299226418e-05,-2.3556443920824677e-05,0,0,1,0
222,8,6.6372631408739835e-06,5.919984232605202e-06,-7.172789082687814e-07,8,8,1,0
223,0,0.0005812307354062796,0.00010905210365308449,-0.00047217862447723746,4,4,1,0
225,9,0.2354588359594345,0.02752978354692459,-0.20792904496192932,1,1,1,0
226,1,9.625234724808251e-07,7.567929287688457e-07,-2.057305437119794e-07,1,1,1,0
227,1,0.0036183875054121017,0.0024605009239166975,-0.0011578865814954042,1,1,1,0
228,6,6.922435568412766e-05,0.00032503093825653195,0.0002558065752964467,6,6,1,0
230,7,0.10885713249444962,0.07211808115243912,-0.0367390513420105,7,7,1,0
232,6,0.00038090525777079165,0.000660220452118665,0.00027931519434787333,6,6,1,0
238,1,0.00012292280734982342,3.780256156460382e-05,-8.51202494231984e-05,1,1,1,0
247,4,1.6823314581415616e-05,2.1140664102858864e-05,4.317349521443248e-06,4,4,1,0
248,6,0.0009095057612285018,0.000442790420493111,-0.0004667153407353908,2,2,1,0
249,6,0.0009693866595625877,0.0019053767900913954,0.0009359901305288076,8,8,1,0
250,1,0.0006579068722203374,0.0005784309469163418,-7.947592530399561e-05,1,1,1,0
254,4,7.516501341342519e-07,4.551138488295692e-07,-2.965362853046827e-07,4,4,1,0
255,1,0.00037871385575272143,0.00016270668129436672,-0.0002160071744583547,1,1,1,0
265,9,0.3842619061470032,0.2497812956571579,-0.13448061048984528,1,9,1,0
268,4,0.00015285676636267453,0.00012574427819345146,-2.711248816922307e-05,2,7,1,0
279,0,2.9373757570283487e-05,2.214182313764468e-05,-7.231934432638809e-06,2,2,1,0
280,8,3.120430847047828e-05,7.125762931536883e-05,4.005332084489055e-05,8,8,1,0
282,1,0.007542381528764963,0.012780589051544666,0.005238207522779703,1,1,1,1
283,2,0.0017267694929614663,0.0007497962797060609,-0.0009769732132554054,4,4,1,0
288,2,3.0737560337001923e-06,6.690733243885916e-06,3.6169772101857234e-06,2,2,1,0
296,4,0.00034140844945795834,7.450716657331213e-05,-0.0002669012756086886,7,4,1,0
302,1,0.012517469935119152,0.008477138355374336,-0.004040331579744816,1,1,1,0
304,1,3.590109190554358e-05,1.903951670101378e-05,-1.68615752045298e-05,1,1,1,0
306,9,0.351039320230484,0.23554371297359467,-0.11549560725688934,1,1,1,0
307,9,0.3787076473236084,0.1736096739768982,-0.2050979733467102,1,1,1,0
311,1,0.002557365456596017,0.0016385993221774697,-0.0009187661344185472,1,1,1,0
312,1,5.9391066315583885e-05,8.242862531915307e-05,2.3037559003569186e-05,1,1,1,0
313,6,6.113537438068306e-06,1.8506931155570783e-05,1.2393393262755126e-05,6,6,1,0
316,9,0.8390464186668396,0.7954172492027283,-0.04362916946411133,9,9,1,0
323,1,2.9003147574258037e-05,9.549110473017208e-06,-1.945403710124083e-05,1,1,1,0
330,1,0.021713456138968468,0.01520044356584549,-0.006513012573122978,1,1,1,0
333,3,0.0012584443902596831,0.0010727338958531618,-0.00018571049440652132,3,4,1,0
340,9,0.07276058197021484,0.017410578206181526,-0.05535000562667847,1,1,1,0
341,0,7.823744090273976e-05,4.33628010796383e-05,-3.487463982310146e-05,0,0,1,0
343,4,2.1779967937618494e-05,1.8043780073639937e-05,-3.7361878639785573e-06,4,4,1,0
345,4,1.8140266547561623e-05,2.9822182114003226e-05,1.1681915566441603e-05,2,2,1,0
346,4,0.0002702792698983103,0.00020614748063962907,-6.413178925868124e-05,2,2,1,0
349,0,2.5897585146594793e-05,2.7096424673800357e-05,1.198839527205564e-06,2,2,1,0
351,6,0.010442043654620647,0.028582250699400902,0.01814020797610283,6,6,1,1
352,0,0.0009719849331304431,0.0007557091885246336,-0.00021627574460580945,0,0,1,0
360,9,0.0023421826772391796,0.0014489368768408895,-0.0008932458003982902,0,0,1,0
364,1,0.02350090816617012,0.009501646272838116,-0.013999261893332005,1,1,1,0
371,0,0.00017152966756839305,9.33036717469804e-05,-7.822599582141265e-05,0,0,1,0
373,0,0.00016299454728141427,0.00010199400276178494,-6.100054451962933e-05,0,0,1,0
387,6,2.1827554519404657e-05,7.525967521360144e-05,5.3432122513186187e-05,6,6,1,0
389,1,0.00407679146155715,0.005700967740267515,0.0016241762787103653,1,1,1,1
393,1,0.0004434391448739916,0.00023238548601511866,-0.00021105365885887295,1,1,1,0
395,3,0.0003373177896719426,0.000348409463185817,1.1091673513874412e-05,3,5,1,0
396,1,0.0028367864433676004,0.0012445788597688079,-0.0015922075835987926,2,2,1,0
398,4,4.590616299537942e-05,3.982723501394503e-05,-6.07892798143439e-06,4,4,1,0
400,2,0.00014802193618379533,6.636311445618048e-05,-8.165882172761485e-05,7,7,1,0
401,0,0.003012118162587285,0.0015047467313706875,-0.0015073714312165976,0,0,1,0
403,2,8.145577885443345e-05,7.532973540946841e-05,-6.126043444965035e-06,2,2,1,0
405,0,0.0007369376835413277,0.0008363068918697536,9.936920832842588e-05,0,0,1,0
406,9,0.8732001185417175,0.47073760628700256,-0.40246251225471497,9,1,1,0
409,6,0.0008516716188751161,0.0008164132595993578,-3.5258359275758266e-05,5,5,1,0
414,4,0.002291090087965131,0.002621239051222801,0.0003301489632576704,2,7,1,0
415,0,0.0018046817276626825,0.0006000985158607364,-0.0012045832118019462,0,0,1,0
421,2,1.4395259313459974e-06,3.454206307651475e-06,2.0146803763054777e-06,2,2,1,0
427,1,0.002444384852424264,0.0031233227346092463,0.0006789378821849823,1,1,1,0
428,9,0.07028599083423615,0.08402685075998306,0.013740859925746918,1,1,1,1
437,6,9.028059139382094e-05,0.00029130300390534103,0.0002010224125115201,6,6,1,0
438,9,0.17372915148735046,0.08565885573625565,-0.08807029575109482,1,1,1,0
446,3,0.0010698506375774741,0.0016230035107582808,0.0005531528731808066,3,3,1,0
449,4,9.679994263933622e-07,2.0126590243307874e-06,1.0446595979374251e-06,4,2,1,0
452,6,3.210736394976266e-05,0.00017186722834594548,0.00013975986803416163,6,6,1,0
453,0,0.0005373185849748552,0.00018290634034201503,-0.00035441224463284016,0,0,1,0
457,0,0.00016861791664268821,0.00011166594049427658,-5.695197614841163e-05,0,0,1,0
458,4,5.8066412748303264e-05,8.209059160435572e-05,2.4024178856052458e-05,2,4,1,0
463,2,4.501238436205313e-06,5.573609087150544e-06,1.0723706509452313e-06,2,2,1,0
466,1,0.05124993249773979,0.05503728240728378,0.003787349909543991,1,1,1,1
473,6,0.001579269184730947,0.0011324918596073985,-0.0004467773251235485,3,7,1,0
474,2,0.004185830242931843,0.005563093814998865,0.0013772635720670223,3,3,1,1
477,4,0.0002978241245727986,0.00018396864470560104,-0.00011385547986719757,2,4,1,0
478,7,0.0038278913125395775,0.00449744937941432,0.0006695580668747425,2,7,1,0
481,0,0.0003336757654324174,0.0002341522485949099,-9.952351683750749e-05,0,0,1,0
484,4,6.292329999268986e-06,5.0843932513089385e-06,-1.2079367479600478e-06,2,2,1,0
489,4,0.00015029858332127333,0.00014512946654576808,-5.169116775505245e-06,4,4,1,0
490,4,7.647218444617465e-05,4.708784035756253e-05,-2.9384344088612124e-05,4,4,1,0
493,1,9.058041905518621e-05,0.00011175485997227952,2.1174440917093307e-05,8,8,1,0
495,9,0.08607714623212814,0.053572092205286026,-0.03250505402684212,1,1,1,0
497,0,5.799884820589796e-05,5.836992568220012e-05,3.710774763021618e-07,8,8,1,0
498,1,0.0021285731345415115,0.0005716292653232813,-0.0015569438692182302,1,1,1,0
501,8,0.005675014574080706,0.00396497268229723,-0.0017100418917834759,8,8,1,0
504,0,0.0003125060466118157,0.0003433855017647147,3.087945515289903e-05,0,0,1,0
506,1,0.050099194049835205,0.0200664009898901,-0.030032793059945107,1,1,1,0
522,2,1.7838276562542887e-06,5.358660473575583e-06,3.574832817321294e-06,2,2,1,0
526,4,0.004165953490883112,0.0032660558354109526,-0.0008998976554721594,6,4,1,0
531,7,6.544392476826033e-07,1.8923772415746498e-07,-4.6520153773599304e-07,7,7,1,0
543,4,6.250299065868603e-06,7.51902462070575e-06,1.2687255548371468e-06,4,4,1,0
546,8,0.02165856771171093,0.012503440491855145,-0.009155127219855785,8,8,1,0
547,1,4.3884636397706345e-05,5.405236152000725e-05,1.0167725122300908e-05,1,1,1,0
549,4,0.0005195653066039085,0.0003141818742733449,-0.00020538343233056366,0,4,1,0
552,6,0.0002905612054746598,0.0009303921251557767,0.0006398309487849474,6,6,1,0
553,9,0.021964333951473236,0.012828805483877659,-0.009135528467595577,0,0,1,0
564,0,0.00011810612340923399,7.776744314469397e-05,-4.033868026454002e-05,0,0,1,0
565,1,0.0007137933280318975,0.000536340638063848,-0.00017745268996804953,1,1,1,0
568,1,0.017312655225396156,0.01937836967408657,0.0020657144486904144,1,1,1,1
572,4,9.827663234318607e-06,5.199397037358722e-06,-4.628266196959885e-06,4,4,1,0
576,1,0.00018016566173173487,0.0002657991135492921,8.563345181755722e-05,1,1,1,0
580,8,0.02822023257613182,0.02549508400261402,-0.0027251485735177994,1,1,1,0
581,4,0.00014039080997463316,0.00018803657440003008,4.764576442539692e-05,4,4,1,0
590,1,0.11597762256860733,0.06673368066549301,-0.04924394190311432,1,1,1,0
591,6,4.841238114750013e-05,2.6952673579216935e-05,-2.1459707568283193e-05,2,2,1,0
593,1,0.036468926817178726,0.042697761207818985,0.006228834390640259,1,1,1,1
594,9,0.44967344403266907,0.27315452694892883,-0.17651891708374023,1,1,1,0
596,8,1.1292171393506578e-06,2.51813776230847e-06,1.3889206229578122e-06,8,8,1,0
597,3,0.002813573693856597,0.005175587721168995,0.002362014027312398,5,3,1,1
608,0,0.012421773746609688,0.005760651547461748,-0.00666112219914794,0,0,1,0
612,9,0.01405662577599287,0.013387872837483883,-0.0006687529385089874,1,1,1,0
616,4,1.322793832514435e-05,6.89108901497093e-06,-6.33684931017342e-06,4,4,1,0
617,1,0.14913344383239746,0.06392910331487656,-0.0852043405175209,1,1,1,0
618,3,0.006582445930689573,0.009758551605045795,0.003176105674356222,5,0,1,1
620,6,0.0027428187895566225,0.002031796146184206,-0.0007110226433724165,2,2,1,0
621,4,0.00011129579070257023,0.00013324998144526035,2.1954190742690116e-05,2,2,1,0
626,0,0.009743518196046352,0.00930970348417759,-0.00043381471186876297,6,4,1,0
639,3,8.270932994491886e-06,9.582458005752414e-06,1.3115250112605281e-06,3,3,1,0
642,4,8.600886212661862e-05,9.752283222042024e-05,1.1513970093801618e-05,4,4,1,0
644,1,0.005244846921414137,0.0025144265964627266,-0.0027304203249514103,1,1,1,0
646,2,0.002856909530237317,0.00045565699110738933,-0.0024012525100260973,3,3,1,0
651,6,1.8499451925890753e-06,8.692565643286798e-06,6.842620678071398e-06,6,6,1,0
654,7,2.113089720978678e-07,1.2907312907373125e-07,-8.223584302413656e-08,7,7,1,0
655,6,0.007050669752061367,0.009654157795011997,0.00260348804295063,6,0,1,1
656,8,0.0002809549914672971,0.0003415519022382796,6.0596910770982504e-05,8,8,1,0
657,9,0.5894374251365662,0.2217036485671997,-0.36773377656936646,9,1,1,0
659,9,0.4892507791519165,0.3328152298927307,-0.1564355492591858,9,9,1,0
661,4,0.00015885537141002715,0.00013168103760108352,-2.717433380894363e-05,4,4,1,0
672,9,0.14512507617473602,0.0694224163889885,-0.07570265978574753,8,8,1,0
674,4,4.473833996598842e-06,3.726133172676782e-06,-7.477008239220595e-07,4,4,1,0
677,4,4.045055902679451e-05,6.406897591659799e-05,2.3618416889803484e-05,4,4,1,0
688,7,3.7852898913115496e-06,4.812385668628849e-06,1.0270957773172995e-06,7,7,1,0
690,1,0.03826623037457466,0.015573374927043915,-0.022692855447530746,1,1,1,0
694,0,0.00012830046762246639,4.80802045785822e-05,-8.022026304388419e-05,0,0,1,0
696,2,2.0039571609231643e-05,1.2217974472150672e-05,-7.821597137080971e-06,2,2,1,0
698,0,1.0449993169459049e-05,5.811308255943004e-06,-4.638684913516045e-06,0,0,1,0
699,1,0.022793114185333252,0.020125655457377434,-0.002667458727955818,1,1,1,0
705,4,3.315133199066622e-06,5.4262468438537326e-06,2.1111136447871104e-06,2,2,1,0
706,9,0.9613139033317566,0.916359007358551,-0.044954895973205566,9,9,1,0
709,2,6.962468887650175e-06,2.870243406505324e-05,2.1739964722655714e-05,2,2,1,0
711,4,4.528323643171461e-06,2.1007206214562757e-06,-2.4276030217151856e-06,2,2,1,0
714,1,0.004749154672026634,0.0053051854483783245,0.0005560307763516903,1,1,1,0
719,9,0.27048152685165405,0.08003484457731247,-0.190446674823761,1,1,1,0
720,6,2.0291368855396286e-05,2.442741606500931e-05,4.136047209613025e-06,2,2,1,0
721,6,0.001851636334322393,0.002127310261130333,0.00027567392680794,6,4,1,0
723,8,0.0029784112703055143,0.0016043976647779346,-0.0013740136055275798,8,3,1,0
725,4,0.002314535668119788,0.0018846062012016773,-0.00042992946691811085,2,0,1,0
728,6,9.289950685342774e-05,0.00041764084016904235,0.000324741326039657,6,6,1,0
735,0,0.0001414854486938566,0.0001073672974598594,-3.4118151233997196e-05,0,0,1,0
736,8,0.00725963432341814,0.0017483638366684318,-0.005511270370334387,8,4,1,0
742,2,3.414584352867678e-05,5.133742160978727e-05,1.7191578081110492e-05,2,4,1,0
748,0,0.00013295531971380115,0.00010389157978352159,-2.9063739930279553e-05,2,2,1,0
749,9,0.032782167196273804,0.007197052706032991,-0.0255851149559021,0,0,1,0
757,0,2.9137674573576078e-05,1.2393336874083616e-05,-1.6744337699492462e-05,0,0,1,0
758,4,1.073270777851576e-05,9.052302630152553e-06,-1.6804051483632065e-06,4,4,1,0
768,9,0.9541419744491577,0.9269201755523682,-0.02722179889678955,9,9,1,0
775,2,3.871101216645911e-05,0.00016886350931599736,0.00013015250442549586,5,5,1,0
783,0,7.977653876878321e-05,0.00014033837942406535,6.056184065528214e-05,0,0,1,0
785,3,1.8842883946490474e-05,4.001251727459021e-05,2.1169633328099735e-05,5,5,1,0
788,3,0.010529106482863426,0.015891559422016144,0.005362452939152718,3,8,1,1
791,9,0.9741922616958618,0.9194319844245911,-0.05476027727127075,9,9,1,0
793,8,1.586868506819883e-06,4.605331014317926e-06,3.0184623938112054e-06,8,8,1,0
801,3,0.00498770410194993,0.011593993753194809,0.006606289651244879,6,6,1,1
802,2,1.4022537470737007e-05,9.410206075699534e-06,-4.612331395037472e-06,2,2,1,0
803,2,0.02221403457224369,0.021821346133947372,-0.00039268843829631805,2,0,1,0
808,2,1.3472226783051156e-05,1.2516556125774514e-05,-9.556706572766416e-07,2,2,1,0
809,3,5.331660091201229e-08,8.501729809040626e-08,3.1700697178393966e-08,5,5,1,0
823,1,1.124686787079554e-05,7.904262929514516e-06,-3.3426049412810244e-06,1,1,1,0
827,2,5.7582308699011264e-08,4.353663882739056e-07,3.777840902330354e-07,2,2,1,0
831,4,0.00035486152046360075,0.00040426969644613564,4.9408175982534885e-05,4,4,1,0
833,1,0.01339056808501482,0.014531328342854977,0.0011407602578401566,1,1,1,0
835,1,0.002051970921456814,0.0013832991244271398,-0.000668671797029674,2,2,1,0
837,6,0.0015738543588668108,0.006486023776233196,0.004912169650197029,6,6,1,1
840,1,0.00436454638838768,0.002176689449697733,-0.002187856938689947,1,1,1,0
844,4,2.9748302040388808e-05,3.949048732465599e-06,-2.579925421741791e-05,7,7,1,0
848,1,0.006455304566770792,0.0033303138334304094,-0.0031249907333403826,1,1,1,0
849,2,9.869780114968307e-06,6.578037755389232e-06,-3.291742359579075e-06,2,2,1,0
856,4,1.4611154028898454e-06,1.3300682439876255e-06,-1.3104715890221996e-07,4,4,1,0
866,0,0.0006368885515257716,0.00022637486108578742,-0.0004105136904399842,0,0,1,0
871,0,4.31149237556383e-05,1.9547274860087782e-05,-2.356764889555052e-05,0,0,0,0
876,4,0.0004058851336594671,0.00042448192834854126,1.859679468907416e-05,4,4,1,0
879,1,0.0009449922363273799,0.001517519704066217,0.000572527467738837,1,1,1,0
884,9,0.024385392665863037,0.011745428666472435,-0.012639963999390602,3,2,1,0
885,2,0.0012815356021746993,0.0006996025913394988,-0.0005819330108352005,0,0,1,0
886,9,0.06297565251588821,0.12342768907546997,0.06045203655958176,1,1,1,1
887,4,4.3171334255021065e-05,4.793633706867695e-05,4.765002813655883e-06,2,4,1,0
889,2,0.0006076271529309452,0.0006859142449684441,7.828709203749895e-05,8,8,1,0
890,9,0.32627782225608826,0.20362767577171326,-0.122650146484375,1,1,1,0
891,8,6.421048965421505e-06,1.2416273420967627e-05,5.995224455546122e-06,8,8,1,0
895,3,0.00012132354459026828,0.0002737825270742178,0.00015245898975990713,3,3,1,0
899,6,0.0003067934012506157,0.0013322042068466544,0.0010254108346998692,6,6,1,0
900,9,0.8691725730895996,0.7969760298728943,-0.07219654321670532,9,9,1,0
902,0,0.00013922796642873436,8.421373058808967e-05,-5.501423584064469e-05,0,0,1,0
915,9,0.4314533472061157,0.2526470720767975,-0.17880627512931824,1,1,1,0
917,1,0.024894945323467255,0.01373482309281826,-0.011160122230648994,1,1,1,0
921,6,0.000433675100794062,0.002310168230906129,0.0018764931010082364,6,6,1,1
926,7,1.2152758245065343e-05,1.1826966328953858e-05,-3.2579191611148417e-07,7,7,1,0
929,6,0.0005565674509853125,0.0011359459022060037,0.0005793784512206912,6,5,1,0
930,4,0.0037119630724191666,0.001304543111473322,-0.0024074199609458447,4,4,1,0
931,6,1.4657396604889072e-05,4.077874473296106e-05,2.6121348128071986e-05,6,6,1,0
938,0,8.093077485682443e-05,0.00011913912749150768,3.820835263468325e-05,8,8,1,0
946,4,0.014721917919814587,0.013928915373980999,-0.0007930025458335876,4,4,1,0
947,1,0.000116951392556075,6.965289503568783e-05,-4.729849752038717e-05,1,1,1,0
950,9,0.015782667323946953,0.010739201679825783,-0.00504346564412117,2,7,1,0
951,4,2.2120825633464847e-06,1.185171413453645e-06,-1.0269111498928396e-06,7,7,1,0
957,2,2.8668802087850054e-07,2.8589829526026733e-07,-7.897256182332058e-10,2,2,1,0
964,9,0.5933745503425598,0.3366146385669708,-0.256759911775589,9,1,1,0
966,4,2.0291015971451998e-05,1.2852102372562513e-05,-7.438913598889485e-06,4,4,1,0
969,3,2.8242398911970668e-05,2.5362527594552375e-05,-2.879871317418292e-06,3,3,1,0
974,0,0.00019387734937481582,0.0003030486113857478,0.00010917126201093197,8,8,1,0
975,2,8.052912744460627e-05,7.136671774787828e-05,-9.162409696727991e-06,2,2,1,0
977,1,0.01610172539949417,0.005117522086948156,-0.010984202846884727,1,1,1,0
979,4,8.274134415842127e-06,9.021117875818163e-06,7.469834599760361e-07,4,2,1,0
980,1,0.05984649807214737,0.05173196643590927,-0.008114531636238098,1,1,1,0
983,0,0.00010549194848863408,4.9233964091399685e-05,-5.6257984397234395e-05,0,0,1,0
985,6,3.0038339900784194e-05,9.70679393503815e-05,6.70295994495973e-05,6,6,1,0
986,2,3.892469248967245e-05,3.521841063047759e-05,-3.70628185919486e-06,2,2,1,0
989,0,0.000534330727532506,0.00013864297943655401,-0.0003956877626478672,0,4,1,0
991,1,5.7168572311638854e-06,2.521024271118222e-06,-3.1958329600456636e-06,1,1,1,0
997,1,0.002624696586281061,0.0034761731512844563,0.0008514765650033951,1,1,1,0
1004,4,0.00019571889424696565,9.470190707361326e-05,-0.00010101698717335239,4,4,1,0
1006,1,0.0014271409017965198,0.0022141593508422375,0.0007870184490457177,1,1,1,0
1007,4,2.4687474251550157e-06,2.4847372515068855e-06,1.598982635186985e-08,2,2,1,0
1009,2,1.6619826510577695e-06,2.6583868475427153e-06,9.964041964849457e-07,2,2,1,0
1011,8,1.4239670917959302e-06,3.019105406565359e-06,1.5951383147694287e-06,8,8,1,0
1012,0,0.0003824526793323457,0.00037148126284591854,-1.0971416486427188e-05,0,0,1,0
1013,6,0.000583524932153523,0.00036024319706484675,-0.00022328173508867621,3,4,1,0
1018,4,2.9690461360587506e-06,2.271985067636706e-06,-6.970610684220446e-07,4,4,1,0
1020,1,0.0026350829284638166,0.0024254347663372755,-0.00020964816212654114,1,1,1,0
1026,9,0.09197249263525009,0.09835823625326157,0.006385743618011475,1,1,1,1
1027,6,1.595816320332233e-05,1.1041930520150345e-05,-4.916232683171984e-06,2,2,1,0
1034,9,0.38397035002708435,0.2011747658252716,-0.18279558420181274,1,1,1,0
1035,6,0.0003692086029332131,0.0004997780779376626,0.0001305694750044495,6,6,1,0
1037,1,0.023446694016456604,0.018251707777380943,-0.005194986239075661,1,1,1,0
1039,0,0.00037883195909671485,0.0003497973666526377,-2.9034592444077134e-05,8,0,1,0
1042,7,3.4456143112038262e-06,2.8506242415460292e-06,-5.94990069657797e-07,7,7,1,0
1048,3,6.97508585290052e-05,0.0001890317362267524,0.0001192808776977472,5,4,1,0
1049,9,0.6587995290756226,0.4200296700000763,-0.23876985907554626,9,1,1,0
1050,2,2.4086844859994017e-05,2.077961471513845e-05,-3.3072301448555663e-06,2,2,1,0
1053,6,0.01084117405116558,0.01476989220827818,0.003928718157112598,6,2,1,1
1064,1,0.00012921509915031493,6.794905493734404e-05,-6.126604421297088e-05,1,1,1,0
